eventid,Number Of Hostages Killed,Number Of Hostages Killed (US),Hours of Kidnapping,Days of Kidnapping,Country That Kidnappers Diverted To,Country of Kidnapping Resolution,Ransom Demanded?,Ransom Amount,Ransom Amount (US),Ransom Paid,Ransom Paid (US),Kidnapping Outcome,Number Released/Escaped/Rescued
197305230002,1.0,0.0,0.0,10.0,Unknown,Argentina,1.0,1000000.0,,1000000.0,,Hostage(s) released by perpetrators,1.0
197305300001,140.0,0.0,,,Unknown,Colombia,1.0,200000.0,,,,Hostage(s) released by perpetrators,82.0
197307040004,-99.0,0.0,,,Cuba,Cuba,1.0,200000.0,,,,Hostage(s) released by perpetrators,
197307080001,-99.0,0.0,0.0,0.0,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,
197307200003,-99.0,0.0,,,Libya,Libya,0.0,,,,,Hostage(s) released by perpetrators,
197308200001,-99.0,0.0,0.0,,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,
197309000001,1.0,0.0,,,Unknown,Argentina,0.0,,,,,Hostage(s) released by perpetrators,1.0
197309050003,13.0,0.0,0.0,,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,13.0
197309280001,4.0,0.0,0.0,1.0,Unknown,Austria,1.0,0.0,,,,Hostage(s) released by perpetrators,4.0
197309280002,1.0,0.0,,,Unknown,Dominican Republic,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197309290001,1.0,1.0,,,Unknown,Argentina,0.0,,,,,Unknown,
197310040001,2.0,2.0,0.0,154.0,Unknown,Colombia,1.0,168000.0,,0.0,,Successful Rescue,2.0
197310100001,1.0,0.0,,,Unknown,Mexico,0.0,,,,,Hostage(s) killed (not during rescue attempt),1.0
197310100002,1.0,0.0,0.0,4.0,Unknown,Mexico,0.0,,,,,Hostage(s) released by perpetrators,1.0
197310180001,50.0,50.0,0.0,1.0,Unknown,Unknown,0.0,,,,,Unknown,48.0
197310200002,2.0,2.0,-99.0,0.0,Unknown,Unknown,0.0,,,,,Combination,1.0
197310220003,1.0,1.0,2.0,0.0,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,
197311000001,3.0,3.0,,,Unknown,Colombia,1.0,10000000.0,,,,Successful Rescue,3.0
197311070001,1.0,0.0,0.0,180.0,Unknown,Argentina,0.0,,,,,Hostage(s) released by perpetrators,1.0
197311170001,1.0,0.0,0.0,95.0,Unknown,Argentina,1.0,1145000.0,,1150000.0,,Hostage(s) released by perpetrators,1.0
197311200001,1.0,0.0,0.0,2.0,Unknown,Venezuela,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197311230001,1.0,0.0,,,Unknown,Argentina,0.0,,,,,Unknown,
197311250003,-99.0,0.0,,,United Arab Emirates,United Arab Emirates,0.0,,,,,Hostage(s) released by perpetrators,
197311270001,-99.0,0.0,,,Unknown,Northern Ireland,0.0,,,,,Unknown,
197312060001,1.0,1.0,0.0,135.0,Unknown,Argentina,1.0,14200000.0,,14200000.0,,Hostage(s) released by perpetrators,1.0
197312080001,1.0,0.0,,,Unknown,Argentina,0.0,,,,,Unknown,
197312170002,30.0,30.0,0.0,1.0,Unknown,Unknown,0.0,,,,,Unknown,-99.0
197312170003,14.0,0.0,,,Kuwait,Kuwait,0.0,,,,,Unknown,
197312210001,1.0,1.0,0.0,41.0,Unknown,Argentina,1.0,1000000.0,,,,Hostage(s) released by perpetrators,1.0
197312230001,1.0,1.0,-99.0,0.0,Unknown,Unknown,0.0,,,,,Hostage(s) killed (not during rescue attempt),
197312280001,1.0,0.0,0.0,80.0,Unknown,Argentina,1.0,3000000.0,,,,Hostage(s) released by perpetrators,1.0
197401000001,1.0,0.0,,,Unknown,Bolivia,0.0,,,,,Hostage(s) released by perpetrators,1.0
197401020001,1.0,0.0,,,Unknown,Argentina,0.0,,,,,Unknown,
197401030001,1.0,0.0,,,Unknown,Argentina,0.0,,,,,Successful Rescue,1.0
197401080001,1.0,0.0,,,Unknown,Argentina,0.0,,,,,Unknown,
197401190001,1.0,0.0,,,Unknown,Argentina,0.0,,,,,Unknown,
197401190002,7.0,0.0,,,Unknown,Unknown,0.0,,,,,Unknown,
197401310002,5.0,0.0,,,Unknown,Unknown,0.0,,,,,Unknown,
197402020001,2.0,0.0,0.0,1.0,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,
197402040004,1.0,1.0,,,Unknown,United States,0.0,,,,,Unknown,1.0
197402060001,16.0,0.0,0.0,2.0,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,16.0
197403030003,102.0,0.0,,,Netherlands,Netherlands,0.0,,,,,Hostage(s) released by perpetrators,
197403110001,1.0,0.0,0.0,4.0,Unknown,Argentina,0.0,,,,,Hostage(s) released by perpetrators,1.0
197403170001,4.0,0.0,,,Unknown,Unknown,0.0,,,,,Unknown,
197403190001,1.0,0.0,,,Unknown,Mexico,1.0,400000.0,,,,Unknown,
197403220001,1.0,1.0,,,Unknown,Mexico,1.0,500000.0,,500000.0,,Hostage(s) killed (not during rescue attempt),1.0
197403250001,1.0,0.0,,,Unknown,Argentina,0.0,,,,,Hostage(s) killed (not during rescue attempt),1.0
197403250002,1.0,0.0,,,Unknown,Argentina,0.0,,,,,Unknown,
197403260001,3.0,3.0,,,Unknown,Ethiopia,0.0,,,,,Unknown,
197403280001,1.0,0.0,0.0,26.0,Unknown,Guatemala,0.0,,,,,Hostage(s) released by perpetrators,1.0
197404040002,1.0,0.0,,,Unknown,Argentina,0.0,,,,,Hostage(s) killed (not during rescue attempt),1.0
197404110001,18.0,0.0,,,Unknown,Unknown,0.0,,,,,Unknown,
197404120001,1.0,1.0,15.0,0.0,Unknown,Argentina,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197404120002,1.0,0.0,0.0,1.0,Unknown,Unknown,0.0,,,,,Unknown,
197404210002,3.0,0.0,,,Unknown,Chad,0.0,,,,,Hostage(s) released by perpetrators,3.0
197404230001,2.0,0.0,,,Unknown,Thailand,1.0,500000.0,,,,Hostage(s) killed (not during rescue attempt),2.0
197405030001,1.0,0.0,0.0,19.0,Unknown,France,1.0,621000.0,,621000.0,,Hostage(s) released by perpetrators,1.0
197405160003,1.0,1.0,,,Unknown,Unknown,0.0,,,,,Hostage(s) released by perpetrators,1.0
197405180001,-99.0,0.0,,,Unknown,Unknown,0.0,,,,,Unknown,
197405270001,1.0,0.0,,,Unknown,Argentina,1.0,0.0,,,,Hostage(s) killed (not during rescue attempt),1.0
197405270002,2.0,1.0,0.0,27.0,Unknown,Ethiopia,0.0,,,,,Hostage(s) released by perpetrators,1.0
197406010001,1.0,0.0,,,Unknown,Argentina,1.0,5000000.0,,5000000.0,,Hostage(s) released by perpetrators,1.0
197406140001,1.0,0.0,0.0,26.0,Unknown,Argentina,0.0,,,,,Hostage(s) released by perpetrators,1.0
197406250001,3.0,0.0,,,Unknown,Unknown,0.0,,,,,Unknown,
197407030001,1.0,0.0,0.0,5.0,Unknown,Lebanon,1.0,0.0,,,,Hostage(s) released by perpetrators,1.0
197407150001,-99.0,0.0,,,Unknown,Japan,0.0,,,,,Unknown,
197407180001,1.0,0.0,,,Unknown,Argentina,0.0,,,,,Hostage(s) killed (not during rescue attempt),1.0
